year,month,dasarian_num,ET0_dasarian_mm_dasarian,hujan_dasarian_mm,GWETROOT
1995,1,1,33.31123768,220.29,0.778
1995,1,2,33.22853507,78.61,0.849
1995,1,3,38.42418896,56.61,0.8436363636363636
1995,2,1,34.84620869,151.12,0.882
1995,2,2,35.50057945,131.35,0.9269999999999999
1995,2,3,29.22331379,55.53,0.91625
1995,3,1,36.43275952,147.09,0.9480000000000001
1995,3,2,36.66958631,100.75,0.943
1995,3,3,42.49889939,148.87,0.9527272727272728
1995,4,1,35.6541283,62.29,0.9629999999999999
1995,4,2,37.32403197,32.65,0.9359999999999999
1995,4,3,36.08465164,71.57,0.932
1995,5,1,34.67702486,176.71,0.9470000000000001
1995,5,2,37.32655859,102.26,0.9560000000000001
1995,5,3,36.57023893,43.84,0.9427272727272726
1995,6,1,33.58910493,60.52,0.916
1995,6,2,33.24258456,60.46,0.915
1995,6,3,32.21286307,45.28,0.9040000000000001
1995,7,1,33.5497001,133.1,0.9490000000000001
1995,7,2,32.98191715,35.74,0.917
1995,7,3,37.95516869,57.75,0.8918181818181818
1995,8,1,33.53752208,51.34,0.8550000000000001
1995,8,2,36.40461492,12.36,0.819
1995,8,3,43.2846782,0.82,0.7518181818181818
1995,9,1,34.21494761,36.04,0.719
1995,9,2,40.67800643,0.94,0.674
1995,9,3,35.31521627,35.34,0.633
1995,10,1,36.69745559,94.12,0.66
1995,10,2,36.45125562,101.66,0.722
1995,10,3,36.80458796,87.99,0.790909090909091
1995,11,1,36.7171805,112.9,0.795
1995,11,2,32.14353893,140.29,0.905
1995,11,3,30.19013665,241.61,0.9410000000000001
1995,12,1,28.43490457,109.91,0.974
1995,12,2,34.9315288,49.1,0.9570000000000001
1995,12,3,42.3248449,25.62,0.9172727272727272
1996,1,1,33.55742009,50.43,0.898
1996,1,2,35.86759463,30.09,0.8880000000000001
1996,1,3,34.82973499,60.15,0.8727272727272727
1996,2,1,30.95670786,56.97,0.877
1996,2,2,34.9630373,108.28,0.9179999999999999
1996,2,3,32.22350062,82.33,0.9388888888888888
1996,3,1,40.92906149,55.35,0.908
1996,3,2,41.40663845,64.16,0.9019999999999999
1996,3,3,41.69493096,45.57,0.8963636363636364
1996,4,1,35.65186913,14.61,0.868
